,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
12,-265.4014587402344,101.86780548095703,-19.18992042541504,44.83005142211914,-3.7204349040985107,10.569293975830078,-10.649238586425781,11.621419906616211,-12.50497055053711,-8.610363006591797,5.040246963500977,-18.09410858154297,0.33283531665802,0.3116292357444763,4.726539134979248,-7.3972649574279785,0.3374232351779938,6.90233850479126,1.7520804405212402,-2.1342849731445312
13,-290.5218200683594,88.59278869628906,-23.0638484954834,50.25621795654297,19.02385902404785,1.733233094215393,-10.898051261901855,-13.039596557617188,-20.68089485168457,-1.92458975315094,-30.929227828979492,-8.21420669555664,10.815068244934082,-24.999849319458008,3.320927858352661,-0.7182883024215698,-8.164740562438965,-13.46179485321045,0.33543792366981506,-8.722065925598145
14,-356.3124694824219,107.50567626953125,-36.11766052246094,46.750972747802734,6.698973178863525,-2.842055320739746,8.768965721130371,-9.291878700256348,7.419256687164307,-2.1980819702148438,-3.384488105773926,0.5492686629295349,-4.118821144104004,2.9265711307525635,0.21908186376094818,3.500913381576538,2.716939926147461,1.7335094213485718,4.371089458465576,-0.6161900162696838
15,-386.4892578125,52.48038101196289,-12.486205101013184,44.46630096435547,-11.987388610839844,7.453085422515869,-0.3875323235988617,-0.8052441477775574,-8.312307357788086,-10.525200843811035,-5.243829250335693,-7.260046482086182,-6.103033065795898,-5.730645656585693,3.941554307937622,-7.399511337280273,0.724159300327301,-1.6969919204711914,0.44451960921287537,-1.5188450813293457
16,-286.8482360839844,96.90552520751953,-44.905052185058594,50.759483337402344,-15.678730010986328,7.7479166984558105,1.3727141618728638,-11.216970443725586,-3.680225133895874,-9.376906394958496,-13.82062816619873,0.24069535732269287,-0.35379189252853394,-10.314303398132324,7.294254779815674,-6.13151216506958,-2.6857025623321533,-2.187533378601074,-5.577342987060547,-5.7673115730285645
17,-327.6535949707031,99.26612854003906,-20.041162490844727,35.20020294189453,11.610771179199219,-7.592944622039795,-3.4797141551971436,-8.999119758605957,-6.318939208984375,-13.670937538146973,1.087188720703125,-2.140490770339966,-11.968046188354492,2.588853359222412,-2.1525726318359375,-1.5921947956085205,0.10166306793689728,-4.101250648498535,0.5309203863143921,-3.119483232498169
18,-283.8119812011719,116.31124877929688,-38.606868743896484,49.8902473449707,-8.42856216430664,8.033084869384766,1.432077407836914,-24.354591369628906,2.1029469966888428,-20.44017791748047,0.31437477469444275,4.321853160858154,-12.234378814697266,6.940446853637695,-0.21097585558891296,0.2301279753446579,0.9395757913589478,-5.32763147354126,0.32395288348197937,-6.884849548339844
19,-277.039794921875,136.67312622070312,-14.791705131530762,29.823793411254883,-23.453107833862305,-10.07844066619873,-20.575468063354492,11.269441604614258,-20.329856872558594,-21.55904197692871,7.179262638092041,-24.996973037719727,1.6035003662109375,20.00521469116211,-0.7636608481407166,-17.308399200439453,-1.6999765634536743,-7.432140827178955,-5.349096775054932,-0.028191881254315376
20,-351.10443115234375,102.01978302001953,-4.2599921226501465,33.346553802490234,-5.401138782501221,11.646485328674316,-2.22690486907959,-5.76059627532959,-10.73983097076416,-4.878662586212158,3.7560760974884033,-9.844107627868652,-0.08679991215467453,-6.296987056732178,-10.399093627929688,2.703211784362793,0.14804276823997498,-8.56395435333252,4.181355953216553,-1.9936790466308594
21,-227.78700256347656,113.1643295288086,-18.185428619384766,41.965999603271484,-12.456006050109863,-7.851243019104004,-7.366641044616699,7.911709308624268,-14.352014541625977,-11.446078300476074,4.309528827667236,-6.621455669403076,-0.36016178131103516,-9.80726146697998,0.28729957342147827,-5.285068511962891,-6.417782783508301,-5.247276782989502,-4.184176445007324,0.11903649568557739
22,-292.470703125,124.7000961303711,-42.505149841308594,68.55209350585938,-4.232510089874268,4.4217209815979,-6.90420389175415,-5.568202972412109,-14.716553688049316,-1.0371713638305664,3.3824636936187744,-12.5466947555542,13.033620834350586,-6.296415328979492,-1.9463037252426147,-2.429973602294922,-7.47416877746582,-1.6095751523971558,-2.2424583435058594,0.14040343463420868
23,-249.74099731445312,61.84048080444336,-62.017486572265625,78.65682220458984,-16.13167953491211,12.00776481628418,-28.98572540283203,-1.549802541732788,0.12062735855579376,-10.782821655273438,-5.120336532592773,-16.816757202148438,-3.8243930339813232,-24.89851188659668,6.451577663421631,-9.509252548217773,-10.665396690368652,-7.96616792678833,-19.46150779724121,-0.14017213881015778
24,-237.41510009765625,135.0144500732422,-56.79963684082031,72.4383773803711,8.278871536254883,2.31792950630188,-13.922290802001953,-6.158328056335449,-15.446545600891113,-13.078082084655762,1.5164613723754883,-11.588459014892578,7.0987629890441895,-5.964508533477783,1.379512071609497,-0.3768298327922821,-9.982994079589844,-2.0077931880950928,-3.691723108291626,-1.5164015293121338
25,-292.1087341308594,118.7760238647461,3.6770055294036865,17.3709716796875,-2.322171449661255,7.503860950469971,-4.729445934295654,-15.544404029846191,-12.18927001953125,-15.765572547912598,-12.267849922180176,-3.775522470474243,-1.1830888986587524,-7.6529340744018555,-4.180315971374512,-1.362131953239441,-1.8030821084976196,-6.228009223937988,-2.8034818172454834,-2.805863857269287
26,-192.48538208007812,155.94876098632812,-11.849574089050293,47.86819076538086,-33.68057632446289,45.72823715209961,-17.82946014404297,1.977463722229004,-6.729662895202637,-18.526256561279297,-0.05227130651473999,-7.186836242675781,9.761959075927734,-16.655691146850586,10.282548904418945,-3.111665725708008,-2.4433670043945312,0.26071611046791077,-5.482114315032959,2.271219253540039
27,-270.57354736328125,90.35318756103516,-10.503068923950195,26.127525329589844,-12.66346263885498,1.7158687114715576,-21.788633346557617,-14.926957130432129,-14.997840881347656,-9.461779594421387,-10.824210166931152,-18.45494270324707,-11.06193733215332,-15.241162300109863,-4.493321895599365,-14.082209587097168,0.8455257415771484,-7.486584663391113,-13.47310733795166,2.3960578441619873
28,-320.98883056640625,123.67634582519531,0.8756982684135437,29.998310089111328,-13.719816207885742,-18.911090850830078,5.960965156555176,1.418423056602478,-22.566944122314453,-8.453546524047852,3.5757038593292236,-4.638092517852783,-2.829399585723877,-8.423805236816406,-0.3466634154319763,-5.587369918823242,-11.638656616210938,0.23099270462989807,0.03284343332052231,-6.511779308319092
29,-240.3177490234375,111.6756591796875,-33.352760314941406,43.251556396484375,-18.049240112304688,35.755252838134766,-19.753376007080078,1.6642212867736816,-2.4875948429107666,-11.136113166809082,3.3300652503967285,-5.313112735748291,10.268393516540527,-21.076723098754883,0.519091784954071,3.350876569747925,-7.942366600036621,-9.207620620727539,3.234907865524292,0.5702415108680725
30,-351.54693603515625,88.07283020019531,-0.5934144258499146,31.584571838378906,-4.240860939025879,0.8320488333702087,-2.209289789199829,1.6096935272216797,-10.169790267944336,-5.5327324867248535,-3.9272639751434326,-2.491250991821289,6.8324360847473145,-6.06857967376709,4.0719380378723145,0.13900786638259888,-3.6855392456054688,-1.1457879543304443,1.0235002040863037,-0.7677105069160461
